,cx_id,pre_om,pre_type,post_om,post_type,x,y,z
0,276258,B6,LMC_N,B6,LMC_1,31888.0,71926.0,18790.0
1,276258,B6,LMC_N,B6,LMC_2,31888.0,71926.0,18790.0
3,276258,B6,LMC_N,B6,R_quartet,31888.0,71926.0,18790.0
5,277482,B6,LMC_N,B6,LMC_1,35203.0,69086.0,18153.0
6,414327,E7,LMC_N,E7,LMC_1,35680.0,72202.4,25040.0
7,414327,E7,LMC_N,E7,LMC_3,35680.0,72202.4,25040.0
8,414659,E7,LMC_N,E7,LMC_3,34078.0,73067.0,23682.0
9,414659,E7,LMC_N,E7,LMC_1,34078.0,73067.0,23682.0
10,414659,E7,LMC_N,E7,R_quartet,34078.0,73067.0,23682.0
12,5207,A3,LMC_N,A3,LMC_1,30233.4,68815.5,21808.0
13,5207,A3,LMC_N,A3,LMC_3,30233.4,68815.5,21808.0
15,5207,A3,LMC_N,A3,LMC_4,30233.4,68815.5,21808.0
16,206371,A3,LMC_N,A3,LMC_4,34888.0,65182.6,26904.0
17,206371,A3,LMC_N,A3,LMC_1,34888.0,65182.6,26904.0
18,206371,A3,LMC_N,A3,LMC_3,34888.0,65182.6,26904.0
20,5354,B3,LMC_N,B3,R7p,32043.2,68935.2,26784.0
21,5354,B3,LMC_N,B3,LMC_3,32043.2,68935.2,26784.0
24,131571,B3,LMC_N,B3,LMC_1,32536.0,68308.0,28271.4
26,131571,B3,LMC_N,B3,LMC_3,32536.0,68308.0,28271.4
29,5744,B2,LMC_N,B2,R_duet,28512.0,70403.0,30616.0
30,5744,B2,LMC_N,B2,LMC_1,28512.0,70403.0,30616.0
31,5744,B2,LMC_N,B2,LMC_3,28512.0,70403.0,30616.0
32,193472,B2,LMC_N,B2,LMC_1,32176.0,67326.0,33872.0
36,193472,B2,LMC_N,B2,LMC_2,32176.0,67326.0,33872.0
42,209996,B2,LMC_N,B2,LMC_1,32394.0,67048.0,33563.0
49,209996,B2,LMC_N,B2,LMC_2,32394.0,67048.0,33563.0
50,28838,B3,centri,B3,LMC_2,34670.5,65751.6,29320.0
51,28838,B3,centri,B3,R7p,34670.5,65751.6,29320.0
53,28838,B3,centri,B3,R8,34670.5,65751.6,29320.0
54,28850,B3,centri,B3,R7,33167.1,66614.2,28624.0
55,28850,B3,centri,B3,R7p,33167.1,66614.2,28624.0
56,28850,B3,centri,B3,LMC_3,33167.1,66614.2,28624.0
57,28850,B3,centri,B3,R8,33167.1,66614.2,28624.0
58,28859,B3,centri,B3,LMC_1,32943.6,67578.6,28216.0
59,28859,B3,centri,B3,R7,32943.6,67578.6,28216.0
60,28859,B3,centri,B3,R7p,32943.6,67578.6,28216.0
62,28859,B3,centri,B3,LMC_2,32943.6,67578.6,28216.0
63,28859,B3,centri,B3,LMC_4,32943.6,67578.6,28216.0
66,28859,B3,centri,B3,R8,32943.6,67578.6,28216.0
68,84951,B3,centri,B3,R7p,33720.0,65906.0,29632.0
69,84951,B3,centri,B3,R_duet,33720.0,65906.0,29632.0
70,84951,B3,centri,B3,LMC_2,33720.0,65906.0,29632.0
71,84951,B3,centri,B3,LMC_3,33720.0,65906.0,29632.0
72,85005,B3,centri,B3,R7p,34368.0,66628.0,29002.0
73,85005,B3,centri,B3,LMC_2,34368.0,66628.0,29002.0
75,85005,B3,centri,B3,R_duet,34368.0,66628.0,29002.0
76,85005,B3,centri,B3,LMC_3,34368.0,66628.0,29002.0
77,85062,B3,centri,B3,R7p,33852.0,67008.0,29322.0
78,85062,B3,centri,B3,LMC_4,33852.0,67008.0,29322.0
79,85062,B3,centri,B3,R_duet,33852.0,67008.0,29322.0
80,85062,B3,centri,B3,LMC_3,33852.0,67008.0,29322.0
81,85062,B3,centri,B3,LMC_2,33852.0,67008.0,29322.0
82,85072,B3,centri,B3,R_duet,32280.0,67436.0,28468.0
83,85072,B3,centri,B3,R7p,32280.0,67436.0,28468.0
84,85072,B3,centri,B3,LMC_3,32280.0,67436.0,28468.0
85,85072,B3,centri,B3,LMC_2,32280.0,67436.0,28468.0
87,119437,B3,centri,B3,R7p,30776.0,68986.0,27096.0
88,119437,B3,centri,B3,LMC_2,30776.0,68986.0,27096.0
89,119437,B3,centri,B3,LMC_3,30776.0,68986.0,27096.0
90,119437,B3,centri,B3,R_duet,30776.0,68986.0,27096.0
91,119446,B3,centri,B3,R7p,30568.0,69194.0,27100.0
92,119446,B3,centri,B3,LMC_2,30568.0,69194.0,27100.0
93,119446,B3,centri,B3,R_duet,30568.0,69194.0,27100.0
95,119659,B3,centri,B3,LMC_2,30328.0,69398.0,27140.0
97,119659,B3,centri,B3,R_duet,30328.0,69398.0,27140.0
98,119659,B3,centri,B3,LMC_1,30328.0,69398.0,27140.0
99,122266,B3,centri,B3,R_duet,31272.0,68452.0,27986.0
101,122266,B3,centri,B3,LMC_3,31272.0,68452.0,27986.0
103,122266,B3,centri,B3,LMC_2,31272.0,68452.0,27986.0
104,122274,B3,centri,B3,R7p,31416.0,68656.0,28410.0
105,122274,B3,centri,B3,LMC_3,31416.0,68656.0,28410.0
107,122274,B3,centri,B3,R_duet,31416.0,68656.0,28410.0
108,122327,B3,centri,B3,R_duet,31344.0,68844.0,27744.0
110,122327,B3,centri,B3,LMC_1,31344.0,68844.0,27744.0
111,122407,B3,centri,B3,R_duet,32656.0,67448.0,29720.0
112,122407,B3,centri,B3,LMC_2,32656.0,67448.0,29720.0
114,122407,B3,centri,B3,LMC_1,32656.0,67448.0,29720.0
115,123063,B3,centri,B3,R7p,30984.0,69111.8,26824.0
116,123063,B3,centri,B3,R_duet,30984.0,69111.8,26824.0
117,123063,B3,centri,B3,LMC_3,30984.0,69111.8,26824.0
118,123063,B3,centri,B3,LMC_4,30984.0,69111.8,26824.0
119,123095,B3,centri,B3,LMC_3,33583.0,67116.0,29148.7
120,123095,B3,centri,B3,R7p,33583.0,67116.0,29148.7
121,123095,B3,centri,B3,R_duet,33583.0,67116.0,29148.7
122,123095,B3,centri,B3,LMC_1,33583.0,67116.0,29148.7
124,123095,B3,centri,B3,LMC_2,33583.0,67116.0,29148.7
125,126463,B3,centri,B3,R7p,32097.1,67753.6,27664.0
126,126463,B3,centri,B3,LMC_2,32097.1,67753.6,27664.0
127,126463,B3,centri,B3,R8,32097.1,67753.6,27664.0
128,126479,B3,centri,B3,R7p,34472.0,66060.0,29130.0
129,126479,B3,centri,B3,LMC_2,34472.0,66060.0,29130.0
130,126479,B3,centri,B3,LMC_3,34472.0,66060.0,29130.0
131,126479,B3,centri,B3,R8,34472.0,66060.0,29130.0
132,134383,B3,centri,B3,R7p,31462.0,68296.0,28676.7
134,134383,B3,centri,B3,LMC_N,31462.0,68296.0,28676.7
135,134383,B3,centri,B3,LMC_3,31462.0,68296.0,28676.7
136,134574,B3,centri,B3,LMC_1,30746.0,69605.0,24992.0
137,134574,B3,centri,B3,LMC_4,30746.0,69605.0,24992.0
138,134574,B3,centri,B3,R8,30746.0,69605.0,24992.0
139,134704,B3,centri,B3,R_duet,32408.0,67371.4,28667.7
140,134704,B3,centri,B3,R7p,32408.0,67371.4,28667.7
141,134704,B3,centri,B3,LMC_3,32408.0,67371.4,28667.7
142,134704,B3,centri,B3,LMC_2,32408.0,67371.4,28667.7
143,259296,B3,centri,B3,LMC_N,31953.0,68404.8,28568.0
144,259296,B3,centri,B3,R7p,31953.0,68404.8,28568.0
145,259296,B3,centri,B3,LMC_3,31953.0,68404.8,28568.0
146,431436,B3,centri,B3,LMC_2,31910.9,68066.5,27443.3
147,431436,B3,centri,B3,R7p,31910.9,68066.5,27443.3
148,431436,B3,centri,B3,R8,31910.9,68066.5,27443.3
149,431436,B3,centri,B3,LMC_3,31910.9,68066.5,27443.3
150,431443,B3,centri,B3,R7,32159.0,67813.7,27328.0
151,431443,B3,centri,B3,R7p,32159.0,67813.7,27328.0
152,431443,B3,centri,B3,R8,32159.0,67813.7,27328.0
153,431453,B3,centri,B3,LMC_3,31912.0,67867.4,27614.0
154,431453,B3,centri,B3,R8,31912.0,67867.4,27614.0
155,431453,B3,centri,B3,R7p,31912.0,67867.4,27614.0
156,431457,B3,centri,B3,R7p,33704.0,66152.0,29499.2
157,431457,B3,centri,B3,LMC_4,33704.0,66152.0,29499.2
158,431457,B3,centri,B3,LMC_2,33704.0,66152.0,29499.2
159,431457,B3,centri,B3,R_duet,33704.0,66152.0,29499.2
160,431457,B3,centri,B3,LMC_3,33704.0,66152.0,29499.2
161,431457,B3,centri,B3,R8,33704.0,66152.0,29499.2
162,29402,A3,R_duet,A3,LMC_2,33114.0,65712.0,24880.0
163,29402,A3,R_duet,A3,R7p,33114.0,65712.0,24880.0
164,29402,A3,R_duet,A3,LMC_1,33114.0,65712.0,24880.0
165,29402,A3,R_duet,A3,LMC_3,33114.0,65712.0,24880.0
167,29402,A3,R_duet,A3,centri,33114.0,65712.0,24880.0
168,29402,A3,R_duet,A3,LMC_4,33114.0,65712.0,24880.0
173,29423,A3,R_duet,A3,centri,32997.2,66177.2,24120.0
174,29423,A3,R_duet,A3,LMC_2,32997.2,66177.2,24120.0
176,29423,A3,R_duet,A3,R7p,32997.2,66177.2,24120.0
178,29423,A3,R_duet,A3,LMC_3,32997.2,66177.2,24120.0
181,29423,A3,R_duet,A3,LMC_1,32997.2,66177.2,24120.0
184,29423,A3,R_duet,A3,LMC_4,32997.2,66177.2,24120.0
185,29984,A3,R_duet,A3,R_quartet,34222.0,64991.6,26360.0
186,29984,A3,R_duet,A3,LMC_3,34222.0,64991.6,26360.0
187,29984,A3,R_duet,A3,LMC_4,34222.0,64991.6,26360.0
188,29984,A3,R_duet,A3,LMC_1,34222.0,64991.6,26360.0
190,29984,A3,R_duet,A3,centri,34222.0,64991.6,26360.0
191,29991,A3,R_duet,A3,LMC_2,33672.0,65204.8,25807.0
195,29991,A3,R_duet,A3,LMC_3,33672.0,65204.8,25807.0
196,29991,A3,R_duet,A3,centri,33672.0,65204.8,25807.0
197,29991,A3,R_duet,A3,LMC_1,33672.0,65204.8,25807.0
199,29991,A3,R_duet,A3,LMC_4,33672.0,65204.8,25807.0
200,29997,A3,R_duet,A3,LMC_2,32896.9,65527.0,25712.0
201,29997,A3,R_duet,A3,centri,32896.9,65527.0,25712.0
203,29997,A3,R_duet,A3,LMC_3,32896.9,65527.0,25712.0
204,29997,A3,R_duet,A3,LMC_1,32896.9,65527.0,25712.0
206,30012,A3,R_duet,A3,LMC_2,33541.7,65483.2,25120.0
209,30012,A3,R_duet,A3,centri,33541.7,65483.2,25120.0
211,30012,A3,R_duet,A3,LMC_4,33541.7,65483.2,25120.0
213,30012,A3,R_duet,A3,LMC_3,33541.7,65483.2,25120.0
214,30012,A3,R_duet,A3,LMC_1,33541.7,65483.2,25120.0
216,30046,A3,R_duet,A3,LMC_2,30200.0,68730.4,23092.0
217,30046,A3,R_duet,A3,centri,30200.0,68730.4,23092.0
218,30046,A3,R_duet,A3,LMC_3,30200.0,68730.4,23092.0
219,30046,A3,R_duet,A3,LMC_1,30200.0,68730.4,23092.0
220,30046,A3,R_duet,A3,R7p,30200.0,68730.4,23092.0
224,30054,A3,R_duet,A3,LMC_2,30441.0,68521.0,22696.0
227,30054,A3,R_duet,A3,LMC_1,30441.0,68521.0,22696.0
228,30054,A3,R_duet,A3,centri,30441.0,68521.0,22696.0
229,30054,A3,R_duet,A3,LMC_3,30441.0,68521.0,22696.0
232,30054,A3,R_duet,A3,R7p,30441.0,68521.0,22696.0
234,30060,A3,R_duet,A3,centri,30806.0,68228.0,22736.2
235,30060,A3,R_duet,A3,LMC_2,30806.0,68228.0,22736.2
238,30060,A3,R_duet,A3,LMC_1,30806.0,68228.0,22736.2
239,30060,A3,R_duet,A3,LMC_4,30806.0,68228.0,22736.2
240,30060,A3,R_duet,A3,LMC_3,30806.0,68228.0,22736.2
243,30070,A3,R_duet,A3,centri,31456.0,67604.8,22985.3
244,30070,A3,R_duet,A3,R7p,31456.0,67604.8,22985.3
245,30070,A3,R_duet,A3,LMC_3,31456.0,67604.8,22985.3
246,30070,A3,R_duet,A3,LMC_1,31456.0,67604.8,22985.3
247,30070,A3,R_duet,A3,LMC_2,31456.0,67604.8,22985.3
251,30076,A3,R_duet,A3,centri,31480.0,67173.3,23565.8
252,30076,A3,R_duet,A3,LMC_3,31480.0,67173.3,23565.8
253,30076,A3,R_duet,A3,LMC_2,31480.0,67173.3,23565.8
254,30076,A3,R_duet,A3,LMC_1,31480.0,67173.3,23565.8
255,30076,A3,R_duet,A3,R_duet,31480.0,67173.3,23565.8
257,30076,A3,R_duet,A3,R7p,31480.0,67173.3,23565.8
258,30076,A3,R_duet,A3,R8,31480.0,67173.3,23565.8
261,30079,A3,R_duet,A3,centri,31848.0,66629.5,23540.9
262,30079,A3,R_duet,A3,LMC_2,31848.0,66629.5,23540.9
263,30079,A3,R_duet,A3,LMC_1,31848.0,66629.5,23540.9
264,30079,A3,R_duet,A3,LMC_4,31848.0,66629.5,23540.9
266,30079,A3,R_duet,A3,LMC_3,31848.0,66629.5,23540.9
270,30084,A3,R_duet,A3,LMC_2,32348.0,66297.0,23752.0
271,30084,A3,R_duet,A3,centri,32348.0,66297.0,23752.0
273,30084,A3,R_duet,A3,LMC_1,32348.0,66297.0,23752.0
274,30084,A3,R_duet,A3,LMC_4,32348.0,66297.0,23752.0
275,30084,A3,R_duet,A3,LMC_3,32348.0,66297.0,23752.0
278,30090,A3,R_duet,A3,LMC_2,32652.0,66893.1,23136.0
279,30090,A3,R_duet,A3,centri,32652.0,66893.1,23136.0
282,30090,A3,R_duet,A3,LMC_1,32652.0,66893.1,23136.0
284,30090,A3,R_duet,A3,R7p,32652.0,66893.1,23136.0
286,30090,A3,R_duet,A3,LMC_4,32652.0,66893.1,23136.0
287,29450,A3,R_quartet,A3,LMC_2,31068.1,67666.8,24544.0
