,centers_in,centers_out,radii_in,radii_out,lens_thickness
A0,"[47829.239037355175, 53529.832740678285, 86135.93054798958]","[44480.61415151648, 51442.35124871549, 84980.08709948277]",3.5109342572557916,3.864202334993853,4.111793000967045
B0,"[41550.31302754784, 54033.70539522958, 91057.39428064559]","[40341.992656530056, 52526.663269989214, 89943.0692946658]",2.510502952507469,3.1699681962647106,2.2300076817456103
A1,"[50677.0529974364, 42996.499148178846, 84509.40850652101]","[47567.97197932852, 42237.404616281055, 83510.27470682116]",2.5919762329925895,4.05756234847071,3.3527418086125484
B1,"[45788.066667782245, 46329.8992199644, 91649.5521462574]","[43096.049386449515, 45403.8102647538, 89611.22742156076]",2.470004798275229,4.414992722151904,3.5013376699865333
C1,"[36956.50678637332, 48774.99244432762, 96055.71228285288]","[36423.22711330701, 48191.26356405711, 93871.65079047068]",2.679906735670609,3.0993551209452463,2.3227680077602093
A2,"[53410.14896371444, 33089.52479093129, 82207.461669083]","[49261.632774725986, 32535.211058453584, 81157.64933094085]",3.1368010157371287,4.414276089410077,4.315038381014489
B2,"[47843.13425819996, 35909.07548374312, 89855.51655447509]","[45847.045542735126, 36014.10027069444, 88318.38333225032]",2.2489699664941036,3.4615614221689492,2.5215429619079157
C2,"[41352.18544289362, 40467.32531403285, 95057.07870268464]","[40389.53667340602, 40386.184819939874, 92922.20964988832]",2.2145759719646856,3.526985246877853,2.343275977294414
D2,"[31396.122531527242, 41847.97598391809, 97709.53019310453]","[31740.91983323613, 41618.99268056503, 94651.25266412835]",2.8129538064442876,3.2839751050620563,3.086159421792861
A3,"[53189.96452755261, 23276.951461171262, 78106.38535742904]","[49439.724658081854, 24355.912307131028, 77074.52715652226]",2.692456514673254,4.938539864418116,4.0364819995214685
B3,"[49274.64966176006, 25754.730887719412, 87178.62479731339]","[47005.30784771964, 26733.411287927927, 85486.27719265039]",2.538764829580475,4.023032188715587,2.9952909724621297
C3,"[43162.96699018767, 30033.260495277515, 93540.52111994827]","[42578.37024234412, 30467.342642646974, 92669.61160498849]",2.29677269217784,2.4515993395453277,1.135193398281378
D3,"[36192.071382923976, 34346.479409544976, 97141.36640833021]","[36004.45267812433, 34859.26254442783, 94535.27215745114]",2.0549738304100793,3.583862373036563,2.6626818372227565
A4,"[50565.66096323427, 14282.942901346236, 74989.16785981186]","[47470.158937323424, 16330.820686506682, 73967.6932946793]",2.6318341653524517,4.48532403290836,3.849590433096045
B4,"[48206.26259466955, 16456.23953999758, 84224.92003631903]","[45863.048136593265, 18499.454008668883, 82211.9633594146]",3.3512180501209525,3.7302951186857953,3.703697334370024
C4,"[41839.73567384341, 20563.485828632744, 90751.64717080255]","[40543.96439234352, 22405.34246904473, 88140.64898908639]",2.6444286865875855,4.289142168728808,3.4480096581527557
D4,"[35057.00371514864, 24896.276000172067, 95474.87301263348]","[34823.08002956727, 25719.501565673447, 94116.18671591993]",2.468247013492839,2.543640915597933,1.6057549860574085
E4,"[26437.938831717456, 32130.505889290944, 98168.45513789826]","[28050.393973578644, 32726.085571931588, 93841.12525441786]",3.6843230208148157,3.718094777130959,4.656233527579069
A5,"[44803.73186898454, 6884.530445585053, 71410.84995818872]","[43713.77437360925, 8365.710416912243, 71297.72058009906]",1.3691978335985546,2.5004625670843064,1.8424710867127714
B5,"[43484.15455549162, 9074.681197167043, 79268.09340351039]","[42370.43979900907, 10791.161824643037, 78424.01121139481]",1.844931921987935,2.826507070538949,2.213400336666189
C5,"[39259.406730417715, 12790.042812022963, 87098.47586456087]","[37844.78955027679, 15133.881483566729, 84329.51220623354]",2.5517058886881236,4.501418196059968,3.8938260394772826
D5,"[32360.335490827278, 16308.387159366619, 91573.97642076047]","[32345.46938346425, 18612.096856119824, 88998.69855274164]",2.830320127885835,3.971759710944365,3.4553372433918095
E5,"[24641.32651009273, 22001.91732779066, 94631.2541686944]","[25911.158468654852, 23976.424563232882, 90770.63616326428]",3.364292210545641,4.225672795514448,4.518354059793307
B6,"[37160.27635301497, 2909.8538245700365, 73054.16016317328]","[36740.53413082143, 4829.419890298461, 72798.52833553392]",1.3529470039263307,2.2314889288327846,1.981480518473576
C6,"[35797.4268233013, 5861.389185327087, 80918.99546421625]","[35665.448632178224, 6434.334775668198, 80397.91245060915]",1.1182442321833272,1.3409281710724905,0.7856286651423189
D6,"[29165.722536242563, 8942.604834985417, 85683.35711938073]","[29240.418128207304, 10177.498099739103, 84948.63766275521]",1.4357066551788251,2.3334424867753736,1.4388722968829024
E6,"[21313.64535495353, 14621.626328556427, 88089.05322634867]","[23139.103745215634, 16436.21290623003, 85846.31376190214]",2.9923101291877767,3.330173102098058,3.4139278094062555
D7,"[28262.983751058102, 3082.290391964285, 76453.76527738734]","[28103.307376436787, 4787.9118159598365, 75903.81987281011]",1.5428392379440403,2.0739471717459277,1.7991889657899838
E7,"[21811.53316084166, 7991.891731084674, 80748.09141806603]","[22173.94175458561, 9341.999196462384, 79578.11285235008]",1.2789805988215244,2.2768674623252045,1.82290427645635
